data,temperatura
2020/01/01,26.854166666666668
2020/01/02,24.920833333333334
2020/01/03,23.816666666666666
2020/01/04,24.462499999999995
2020/01/05,24.295833333333334
2020/01/06,25.85833333333333
2020/01/07,26.95833333333333
2020/01/08,25.54166666666667
2020/01/09,27.416666666666654
2020/01/10,27.849999999999998
2020/01/11,26.474999999999998
2020/01/12,26.216666666666665
2020/01/13,25.037499999999998
2020/01/14,26.483333333333334
2020/01/15,26.683333333333326
2020/01/16,25.574999999999992
2020/01/17,22.775000000000006
2020/01/18,23.09166666666667
2020/01/19,24.89583333333334
2020/01/20,25.829166666666666
2020/01/21,26.120833333333334
2020/01/22,22.916666666666668
2020/01/23,21.345833333333335
2020/01/24,22.9875
2020/01/25,23.841666666666665
2020/01/26,25.304166666666664
2020/01/27,25.85416666666666
2020/01/28,24.775000000000002
2020/01/29,25.020833333333332
2020/01/30,26.004166666666674
2020/01/31,26.049999999999997
2020/02/01,25.72916666666667
2020/02/02,25.016666666666666
2020/02/03,25.262500000000003
2020/02/04,23.120833333333334
2020/02/05,24.983333333333334
2020/02/06,25.21666666666667
2020/02/07,25.608333333333338
2020/02/08,26.570833333333344
2020/02/09,25.89166666666667
2020/02/10,23.524999999999995
2020/02/11,23.362500000000008
2020/02/12,22.2625
2020/02/13,22.495833333333334
2020/02/14,24.629166666666666
2020/02/15,25.937499999999996
2020/02/16,27.13333333333333
2020/02/17,27.341666666666665
2020/02/18,27.962499999999995
2020/02/19,27.3125
2020/02/20,26.166666666666668
2020/02/21,23.825
2020/02/22,21.72083333333333
2020/02/23,21.354166666666668
2020/02/24,23.63333333333333
2020/02/25,25.329166666666666
2020/02/26,22.725000000000005
2020/02/27,21.89583333333333
2020/02/28,23.166666666666668
2020/02/29,23.720833333333335
2020/03/01,23.42916666666667
2020/03/02,22.625000000000004
2020/03/03,21.799999999999997
2020/03/04,22.84583333333333
2020/03/05,23.304166666666664
2020/03/06,22.15833333333333
2020/03/07,23.833333333333332
2020/03/08,24.470833333333335
2020/03/09,24.97083333333333
2020/03/10,25.3125
2020/03/11,25.64583333333334
2020/03/12,25.64166666666667
2020/03/13,25.916666666666668
2020/03/14,26.1875
2020/03/15,27.11666666666667
2020/03/16,25.541666666666668
2020/03/17,24.320833333333336
2020/03/18,24.30416666666667
2020/03/19,26.495833333333334
2020/03/20,24.883333333333336
2020/03/21,23.41666666666667
2020/03/22,23.962500000000006
2020/03/23,24.791666666666668
2020/03/24,23.354166666666668
2020/03/25,24.175
2020/03/26,24.500000000000004
2020/03/27,24.82083333333333
2020/03/28,23.787499999999994
2020/03/29,24.420833333333334
2020/03/30,26.108333333333334
2020/03/31,26.099999999999998
2020/04/01,25.73333333333333
2020/04/02,25.508333333333336
2020/04/03,23.679166666666664
2020/04/04,22.266666666666666
2020/04/05,21.929166666666664
2020/04/06,22.729166666666668
2020/04/07,20.6125
2020/04/08,19.466666666666672
2020/04/09,19.258333333333336
2020/04/10,20.308333333333334
2020/04/11,19.2375
2020/04/12,20.691666666666666
2020/04/13,21.337500000000002
2020/04/14,22.691666666666663
2020/04/15,20.15833333333334
2020/04/16,18.8875
2020/04/17,19.004166666666663
2020/04/18,20.599999999999998
2020/04/19,21.0875
2020/04/20,21.1375
2020/04/21,21.620833333333334
2020/04/22,21.6125
2020/04/23,22.183333333333337
2020/04/24,22.05416666666667
2020/04/25,24.46666666666667
2020/04/26,22.995833333333334
2020/04/27,23.416666666666657
2020/04/28,22.80416666666667
2020/04/29,24.241666666666664
2020/04/30,22.8125
2020/05/01,21.454166666666666
2020/05/02,20.945833333333336
2020/05/03,19.4375
2020/05/04,19.279166666666672
2020/05/05,20.2375
2020/05/06,18.229166666666664
2020/05/07,16.783333333333335
2020/05/08,17.70416666666667
2020/05/09,19.04583333333333
2020/05/10,21.720833333333335
2020/05/11,21.9875
2020/05/12,20.41666666666667
2020/05/13,21.308333333333337
2020/05/14,19.625
2020/05/15,16.46666666666667
2020/05/16,17.854166666666664
2020/05/17,18.05
2020/05/18,18.008333333333333
2020/05/19,18.904166666666665
2020/05/20,20.69583333333333
2020/05/21,22.670833333333338
2020/05/22,22.116666666666664
2020/05/23,22.19166666666666
2020/05/24,19.2625
2020/05/25,19.208333333333332
2020/05/26,16.754166666666666
2020/05/27,14.558333333333335
2020/05/28,15.833333333333337
2020/05/29,17.158333333333328
2020/05/30,17.254166666666666
2020/05/31,18.004166666666666
2020/06/01,17.82083333333333
2020/06/02,16.033333333333335
2020/06/03,16.383333333333336
2020/06/04,17.875000000000004
2020/06/05,18.07083333333333
2020/06/06,21.333333333333332
2020/06/07,19.534782608695654
2020/06/08,16.962500000000002
2020/06/09,19.675
2020/06/10,18.762500000000003
2020/06/11,20.575
2020/06/12,21.716666666666665
2020/06/13,20.491666666666664
2020/06/14,15.89583333333333
2020/06/15,16.445833333333333
2020/06/16,18.808333333333334
2020/06/17,20.75
2020/06/18,21.054166666666664
2020/06/19,20.995833333333334
2020/06/20,22.500000000000004
2020/06/21,23.662500000000005
2020/06/22,20.175000000000004
2020/06/23,20.783333333333335
2020/06/24,22.141666666666666
2020/06/25,20.64583333333333
2020/06/26,16.270833333333336
2020/06/27,13.333333333333334
2020/06/28,15.100000000000003
2020/06/29,15.783333333333331
2020/06/30,18.908333333333335
2020/07/01,18.179166666666664
2020/07/02,13.495833333333332
2020/07/03,12.137499999999998
2020/07/04,13.825000000000003
2020/07/05,18.241666666666667
2020/07/06,17.008333333333336
2020/07/07,15.387500000000003
2020/07/08,18.574999999999996
2020/07/09,15.700000000000001
2020/07/10,14.108695652173916
2020/07/11,16.6125
2020/07/12,18.204166666666666
2020/07/13,16.308333333333334
2020/07/14,14.375
2020/07/15,13.04166666666667
2020/07/16,13.452173913043477
2020/07/17,17.058333333333334
2020/07/18,19.7
2020/07/19,20.61666666666667
2020/07/20,20.22083333333333
2020/07/21,20.3875
2020/07/22,19.575
2020/07/23,19.5125
2020/07/24,19.545833333333334
2020/07/25,17.47083333333333
2020/07/26,15.770833333333334
2020/07/27,18.48333333333333
2020/07/28,16.716666666666665
2020/07/29,13.316666666666668
2020/07/30,12.166666666666666
2020/07/31,15.391666666666664
2020/08/01,17.71666666666667
2020/08/02,17.408333333333335
2020/08/03,18.020833333333332
2020/08/04,17.887499999999996
2020/08/05,18.979166666666668
2020/08/06,19.720833333333335
2020/08/07,19.079166666666673
2020/08/08,17.579166666666666
2020/08/09,18.575
2020/08/10,19.59166666666667
2020/08/11,18.087500000000002
2020/08/12,14.97916666666667
2020/08/13,18.51739130434783
2020/08/14,18.212500000000002
2020/08/15,18.149999999999995
2020/08/16,17.3375
2020/08/17,17.43333333333333
2020/08/18,18.349999999999998
2020/08/19,18.6125
2020/08/20,13.391666666666667
2020/08/21,11.795833333333333
2020/08/22,12.241666666666665
2020/08/23,13.141666666666667
2020/08/24,16.783333333333335
2020/08/25,16.35416666666667
2020/08/26,18.479166666666668
2020/08/27,18.25833333333333
2020/08/28,20.141666666666666
2020/08/29,18.933333333333334
2020/08/30,19.479166666666664
2020/08/31,17.187499999999996
2020/09/01,16.50833333333333
2020/09/02,18.875
2020/09/03,21.40416666666667
2020/09/04,16.620833333333334
2020/09/05,16.479166666666668
2020/09/06,18.624999999999996
2020/09/07,17.745833333333337
2020/09/08,17.858333333333338
2020/09/09,19.62916666666666
2020/09/10,21.354166666666668
2020/09/11,20.116666666666667
2020/09/12,22.149999999999995
2020/09/13,21.795833333333334
2020/09/14,20.229166666666668
2020/09/15,16.65833333333333
2020/09/16,19.22916666666667
2020/09/17,19.604166666666668
2020/09/18,20.170833333333327
2020/09/19,20.691666666666666
2020/09/20,16.133333333333336
2020/09/21,15.612499999999999
2020/09/22,14.670833333333336
2020/09/23,18.2375
2020/09/24,21.541666666666668
2020/09/25,21.00416666666666
2020/09/26,21.258333333333333
2020/09/27,21.516666666666666
2020/09/28,20.845833333333335
2020/09/29,19.5125
2020/09/30,21.879166666666663
2020/10/01,25.066666666666663
2020/10/02,24.070833333333336
2020/10/03,20.07916666666667
2020/10/04,16.62916666666667
2020/10/05,20.066666666666666
2020/10/06,20.3375
2020/10/07,20.354166666666668
2020/10/08,19.850000000000005
2020/10/09,18.5125
2020/10/10,18.099999999999998
2020/10/11,19.129166666666666
2020/10/12,20.758333333333336
2020/10/13,19.3375
2020/10/14,20.020833333333332
2020/10/15,20.72916666666666
2020/10/16,20.870833333333334
2020/10/17,19.8875
2020/10/18,21.49166666666667
2020/10/19,22.679166666666664
2020/10/20,23.962500000000002
2020/10/21,23.354166666666668
2020/10/22,22.254166666666666
2020/10/23,22.662499999999998
2020/10/24,22.625
2020/10/25,22.77916666666667
2020/10/26,23.40833333333333
2020/10/27,23.57916666666667
2020/10/28,23.17916666666667
2020/10/29,21.620833333333337
2020/10/30,19.208333333333336
2020/10/31,18.87083333333333
2020/11/01,19.2125
2020/11/02,19.258333333333336
2020/11/03,19.770833333333332
2020/11/04,18.166666666666668
2020/11/05,18.075
2020/11/06,19.429166666666664
2020/11/07,21.395833333333332
2020/11/08,23.09166666666667
2020/11/09,20.987499999999997
2020/11/10,21.220833333333335
2020/11/11,23.066666666666666
2020/11/12,23.791666666666668
2020/11/13,22.94583333333333
2020/11/14,24.39583333333333
2020/11/15,25.666666666666668
2020/11/16,24.183333333333337
2020/11/17,22.45833333333333
2020/11/18,20.82083333333333
2020/11/19,18.652173913043477
2020/11/20,19.354166666666668
2020/11/21,20.120833333333334
2020/11/22,21.704166666666666
2020/11/23,23.224999999999998
2020/11/24,23.700000000000003
2020/11/25,24.650000000000006
2020/11/26,25.787499999999998
2020/11/27,24.329166666666666
2020/11/28,25.312500000000004
2020/11/29,25.733333333333334
2020/11/30,25.04583333333333
2020/12/01,23.02916666666667
2020/12/02,23.145833333333332
2020/12/03,24.82916666666667
2020/12/04,25.004166666666666
2020/12/05,21.21666666666666
2020/12/06,18.937500000000004
2020/12/07,20.016666666666666
2020/12/08,22.97083333333333
2020/12/09,23.416666666666668
2020/12/10,24.170833333333338
2020/12/11,25.649999999999995
2020/12/12,25.799999999999997
2020/12/13,25.07083333333333
2020/12/14,24.308333333333334
2020/12/15,21.96666666666667
2020/12/16,25.38333333333333
2020/12/17,23.183333333333337
2020/12/18,23.8
2020/12/19,25.387500000000003
2020/12/20,25.554166666666664
2020/12/21,23.6125
2020/12/22,22.604166666666668
2020/12/23,23.495833333333334
2020/12/24,24.30416666666667
2020/12/25,23.712500000000002
2020/12/26,23.704166666666662
2020/12/27,22.52083333333333
2020/12/28,23.4375
2020/12/29,24.537499999999994
2020/12/30,26.24166666666667
2020/12/31,26.89583333333333
